ASIN,impressions,clicks,units sold,spend,14 day total sales,count of campaigns,campaign,ISBN,CTR,CRV,ACOS,ROAS,period,source_file
1452145032,341445.0,1030.0,114.0,224.51000000000002,1883.2799999999993,28.0,,,0.0030165912518853697,0.11067961165048544,0.11921222547895167,8.388401407509685,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616893435,179473.0,609.0,55.0,209.96999999999997,720.5,18.0,,,0.003393268068177386,0.090311986863711,0.29142262317834833,3.4314425870362437,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B08RTRGQP6,180705.0,764.0,69.0,208.57999999999996,1031.7099999999998,17.0,,9791027609994,0.00422788522730417,0.09031413612565445,0.20216921421717343,4.946351519800556,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616897120,232368.0,1199.0,61.0,200.80000000000004,1036.39,15.0,,,0.005159918749569648,0.05087572977481234,0.1937494572506489,5.161304780876494,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797206125,244074.0,1062.0,134.0,200.44000000000003,2359.1599999999994,21.0,,,0.004351139408540033,0.12617702448210924,0.08496244425982133,11.769906206346034,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797228803,186428.0,893.0,148.0,186.36999999999992,1261.6300000000008,1.0,,,0.004790052996331023,0.16573348264277715,0.14772159824988293,6.769490797875202,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616898208,160029.0,594.0,58.0,180.95,940.1800000000001,16.0,,,0.0037118272313143245,0.09764309764309764,0.19246314535514472,5.195799944736116,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1958417009,285339.0,1162.0,55.0,179.48000000000002,1550.5599999999995,21.0,,,0.004072349030451498,0.047332185886402756,0.1157517284078011,8.639179852908399,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1784881953,71822.42857142857,393.35714285714283,38.14285714285714,177.9664285714286,591.9614285714285,27.0,,,0.005476800919728617,0.0969674959142909,0.3006385551182148,3.3262533463373907,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616897163,94985.0,679.0,63.0,176.67999999999998,740.5300000000001,24.0,,,0.007148497131125967,0.09278350515463918,0.23858587768220052,4.19136291600634,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797220071,314737.0,1516.0,71.0,171.79,1271.24,22.0,,,0.004816719991612045,0.04683377308707124,0.13513577294609985,7.399965073636417,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452139970,151820.66666666666,635.0,94.66666666666667,166.78333333333333,1149.86,16.0,,,0.004182566273366385,0.14908136482939632,0.14504664335948145,6.894333966223643,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
179722400X,215556.0,585.0,33.0,166.44,993.3000000000002,22.0,,9781797224008,0.0027139119300784945,0.05641025641025641,0.16756266988825125,5.9679163662581125,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797229605,388002.0,1952.0,25.0,153.04,371.31000000000006,1.0,,,0.005030901902567513,0.012807377049180328,0.4121623441329347,2.4262284370099327,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797222465,182405.0,565.0,13.0,152.19,613.47,25.0,,,0.003097502809681752,0.023008849557522124,0.24808059073793337,4.030948156909127,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1787131718,87332.42857142857,421.35714285714283,57.14285714285714,150.2164285714286,736.1314285714286,20.0,,,0.004824750092830842,0.13561620613663333,0.2040619687478168,4.900472175860544,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797226487,46714.0,272.0,34.0,149.35,521.06,22.0,,,0.00582266558205249,0.125,0.28662725981652787,3.488851690659524,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797216163,182836.0,850.0,42.0,147.45999999999995,870.59,27.0,,,0.004648975037738739,0.04941176470588235,0.16937938639313563,5.903906144039063,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1784882887,125762.42857142857,362.35714285714283,32.14285714285714,144.91642857142858,691.5214285714286,21.0,,,0.0028812829632288545,0.08870490833826138,0.2095617324119695,4.771863586402015,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
161689671X,133479.0,887.0,25.0,143.10999999999999,511.5900000000001,19.0,,9781616896713,0.006645240075217824,0.02818489289740699,0.2797357258742352,3.5748025993990646,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
