PERIOD,ISBN,PT,qty
202210,9781452173580,BK,7
202406,9780811852258,BK,7
202405,9781452155388,FT,7
202204,9781452179636,FT,7
202004,9781452117119,FT,7
202106,9781452150284,BK,7
202205,9781452159249,BK,7
202401,9780811830904,BK,7
202001,9781452145150,BK,8
202310,9781452184821,BK,8
202301,9781452165110,FT,8
202208,9781452150284,BK,8
202307,9781452145808,FT,8
202505,9780811868655,BK,8
202111,9781452161341,BK,8
202108,9781452145150,BK,8
202503,9781452170756,BK,8
202206,9781452150284,BK,8
202004,9781452148991,BK,8
202412,9781452180960,BK,8
202208,9781452165042,BK,8
202110,9781452145150,BK,8
202006,9780811863551,BK,8
202205,9781452102108,FT,8
202111,9781452145150,BK,8
202201,9781452165110,FT,8
202004,9781452163307,BK,8
202004,9781452169507,BK,8
202401,9781452145150,BK,8
202204,9781452182759,BK,8
202304,9781452173580,BK,8
202205,9781452155388,FT,8
202210,9781452141251,BK,8
202201,9780811830904,BK,8
202309,9781452181950,FT,8
202201,9780811840460,BK,8
202406,9781452178844,BK,8
202401,9780811822176,FT,8
202005,9781452176840,FT,8
202004,9780811863711,FT,8
202301,9781452147383,FT,8
202412,9781452141251,BK,8
202402,9781452159249,BK,8
202503,9781452169132,BK,8
202108,9781452134345,FT,8
202002,9781452148991,BK,8
202305,9781797201184,BK,9
202307,9781452174136,BK,9
202112,9781452131566,BK,9
202304,9781452145150,BK,9
202301,9780811822176,FT,9
202011,9781452178752,FT,9
202206,9781452141251,BK,9
202107,9780811852364,BK,9
202408,9781452150284,BK,9
202505,9780811852562,FT,9
202007,9781452106205,BK,9
202204,9781452140193,BK,9
202109,9781452114415,BK,9
202208,9781452145150,BK,9
202110,9781452178752,FT,9
202409,9781452178752,FT,9
202102,9781452137391,FT,9
202209,9781452178752,FT,9
202204,9780811851534,FT,9
202411,9781452152103,BK,9
202407,9780811852258,BK,9
202101,9780811822176,FT,9
202307,9781452159249,BK,9
202106,9781452114415,BK,9
202106,9781452165110,FT,9
202210,9781452179933,BK,9
202401,9781452182759,BK,10
202204,9781452153476,BK,10
202110,9780811822176,FT,10
202210,9781452145150,BK,10
202503,9781616895327,BK,10
202009,9781452178752,FT,10
202105,9781452150284,BK,10
202212,9781452147383,FT,10
202106,9781452156378,BK,10
202310,9781452147383,FT,10
202207,9780811824996,BK,10
202005,9780811863537,BK,10
202404,9781452165110,FT,10
202202,9781452129013,BK,10
202401,9781452155067,FT,10
202208,9780811852364,BK,10
202106,9781452180489,FT,10
202005,9781452171241,FT,10
202503,9781616894696,BK,10
202106,9781452147383,FT,10
202004,9780811864831,BK,10
202503,9781452156378,BK,10
202504,9781452145150,BK,10
202303,9781797201184,BK,10
202211,9781452147383,FT,10
202308,9781452159249,BK,10
202302,9781452147383,FT,10
202505,9781452167664,BK,10
202212,9781452169132,BK,10
202207,9781452169132,BK,10
202104,9781452160986,FT,10
202505,9781452150284,BK,10
202308,9781452141251,BK,10
202005,9781452129167,BK,10
202207,9781452147383,FT,10
202004,9781452134345,FT,10
202007,9781452117348,FT,10
202307,9781452178844,BK,10
202202,9781452161341,BK,10
202211,9780811830904,BK,10
202505,9781452169132,BK,11
202409,9781452169132,BK,11
202004,9781452169132,BK,11
202001,9781452106199,BK,11
202101,9781452144832,BK,11
202004,9781452151601,BK,11
202104,9781452150284,BK,11
202502,9781452145150,BK,11
202104,9781452180489,FT,11
202005,9780811823319,BK,11
202408,9781452179933,BK,11
202012,9781452106311,BK,11
202007,9780811865432,BK,11
202010,9781452169132,BK,11
202305,9781452159249,BK,11
202103,9781452145150,BK,11
202305,9781452174136,BK,11
202505,9781452145150,BK,11
202210,9781452156378,BK,11
202103,9781452180489,FT,11
202208,9781452170145,BK,11
202311,9781452182759,BK,11
202204,9781452141978,BK,11
202108,9781452180489,FT,11
202308,9781452174136,BK,11
202306,9781452165110,FT,11
202001,9781452148991,BK,11
202003,9781452150284,BK,11
202109,9781452147383,FT,11
202502,9781452141251,BK,11
202403,9781452155067,FT,11
202110,9781452152103,BK,11
202305,9781452145808,FT,11
202308,9781452145150,BK,11
202312,9781452145150,BK,11
202206,9780811852364,BK,11
202211,9781452178844,BK,11
202105,9781452146614,BK,12
202206,9781452152103,BK,12
202111,9780811814928,BK,12
202311,9780811852562,FT,12
202411,9781452147383,FT,12
202004,9781452129136,BK,12
202404,9781452155067,FT,12
202110,9781452100555,FT,12
202010,9781452178752,FT,12
202401,9781452173580,BK,12
202206,9781452145686,BK,12
202204,9781452172637,BK,12
